,Unnamed: 0,School ID,City,Zip Code,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,School Level
349,49,340114003748,Avon by the Sea,7717,301,4,Elementary,78.06528,Elementary
350,0,340192000286,Bogota,7603,351,4,Elementary,75.87355,Elementary
351,1,340000800109,Great Meadows,7838,351,4,Elementary,75.87355,Elementary
352,2,341191000666,Oakland,7436,351,4,Elementary,75.87355,Elementary
353,3,341071001138,Moorestown,8057,351,4,Elementary,75.87355,Elementary
354,4,340774000725,Jackson,8527,351,4,Elementary,75.87355,Elementary
355,5,341836000948,Wyckoff,7481,351,4,Elementary,75.87355,Elementary
356,6,340852000538,Leonia,7605,351,4,Elementary,75.87355,Elementary
357,7,340756003870,Howell,7731,351,4,Elementary,75.87355,Elementary
358,8,341086004394,Mount Arlington,7856,351,4,Elementary,75.87355,Middle
359,9,341248004458,Parsippany,7054,351,4,Elementary,75.87355,Elementary
360,10,340831004648,Lavallette,8735,351,4,Elementary,75.87355,Elementary
