,Unnamed: 0,School ID,City,Zip Code,2019 Rank,2019 Rank Level,2019 Avg Score,School Level
232,32,340450003348,Edison,8817,142.0,Elementary,86.89605,Elementary
233,33,341836000946,Wyckoff,7481,142.0,Elementary,86.89605,Elementary
234,34,341305000042,Piscataway,8854,142.0,Elementary,86.89605,Elementary
235,35,340002600292,Newark,7104,142.0,Elementary,86.89605,Elementary
236,36,340411003306,E Brunswick,8816,142.0,Elementary,86.89605,Elementary
237,37,341560004108,Spring Lake,7762,142.0,Elementary,86.89605,Elementary
238,38,340633001530,Haddon Heights,8035,142.0,Elementary,86.89605,Elementary
239,39,340939003936,Manalapan,7726,142.0,Elementary,86.89605,Elementary
240,40,341128000626,New Milford,7646,142.0,Elementary,86.89605,Elementary
241,41,340135001974,Belleville,7109,142.0,Elementary,86.89605,Elementary
242,42,341056002184,Montclair,7042,142.0,Elementary,86.89605,Elementary
243,43,340987006113,Medford,8055,142.0,Elementary,86.89605,Elementary
244,44,340735002760,Hoboken,7030,142.0,Elementary,86.89605,Elementary
245,45,341464003588,Parlin,8859,142.0,Elementary,86.89605,Elementary
246,46,341395000800,River Vale,7675,142.0,Elementary,86.89605,Elementary
247,47,341497004102,Shrewsbury,7702,142.0,Elementary,86.89605,Elementary
248,48,340228005186,Bridgewater,8807,142.0,Elementary,86.89605,Elementary
249,49,340885005975,Lodi,7644,142.0,Elementary,86.89605,Elementary
250,0,341776005784,Westfield,7090,136.0,Elementary,87.30976,Elementary
251,1,340408002980,Ringoes,8551,136.0,Elementary,87.30976,Elementary
252,2,341776005780,Westfield,7090,136.0,Elementary,87.30976,Elementary
253,3,340306004196,Chester,7930,136.0,Elementary,87.30976,Elementary
254,4,340612005218,Green Brook,8812,136.0,Elementary,87.30976,Elementary
255,5,341059000398,Skillman,8558,136.0,Elementary,87.30976,Elementary
256,6,341290004482,Pequannock,7440,136.0,Elementary,87.30976,Elementary
257,7,341341006034,Princeton,8540,136.0,Elementary,87.30976,Elementary
258,8,340531000450,Fort Lee,7024,136.0,Elementary,87.30976,Elementary
259,9,340150000270,Bergenfield,7621,136.0,Elementary,87.30976,Elementary
260,10,341188002384,Nutley,7110,136.0,Elementary,87.30976,Elementary
261,11,340519002984,Flemington,8822,136.0,Elementary,87.30976,Elementary
262,12,340183001988,Bloomfield,7003,136.0,Elementary,87.30976,Elementary
263,13,341191000668,Oakland,7436,136.0,Elementary,87.30976,Elementary
264,14,341467005686,Scotch Plains,7076,136.0,Elementary,87.30976,Elementary
265,15,341689004134,Wall,7719,136.0,Elementary,87.30976,Elementary
266,16,340537000462,Franklin Lakes,7417,136.0,Elementary,87.30976,Elementary
267,17,340951000704,Columbus,8022,136.0,Elementary,87.30976,Elementary
268,18,341305003576,Piscataway,8854,136.0,Elementary,87.30976,Elementary
269,19,341710003252,Robbinsville,8691,136.0,Elementary,87.30976,Elementary
270,20,340609005350,Greendell,7839,136.0,Elementary,87.30976,Elementary
271,21,341683006061,Voorhees,8043,136.0,Elementary,87.30976,Elementary
272,22,341404001238,Riverton,8077,136.0,Elementary,87.30976,Elementary
273,23,341836000940,Wyckoff,7481,136.0,Elementary,87.30976,Elementary
274,24,340630005820,Hackettstown,7840,136.0,Elementary,87.30976,Elementary
275,25,341242000700,Paramus,7652,136.0,Elementary,87.30976,Elementary
276,26,340003600309,Jersey City,7305,136.0,Elementary,87.30976,Elementary
277,27,340513003782,Farmingdale,7727,136.0,Elementary,87.30976,Elementary
278,28,340315005454,Clark,7066,136.0,Elementary,87.30976,Elementary
279,29,341098004412,Flanders,7836,136.0,Elementary,87.30976,Elementary
280,30,341248004442,Lake Hiawatha,7034,136.0,Elementary,87.30976,Elementary
281,31,341011003996,Lincroft,7738,136.0,Elementary,87.30976,Elementary
