Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.6,11.6,116.0,174.0,660.9000000000001,46.4
0.0,13.2,59.699999999999996,59.7,404.79999999999995,3397.8,92.89999999999999
0.0,0.0,0.0,0.0,133.3,590.2,19.0
0.0,0.0,0.0,0.0,194.4,607.5,145.8
0.0,6.2,12.4,74.0,197.3,758.0,86.39999999999999
0.0,25.0,15.0,115.3,416.3,1028.2,75.2
0.0,21.0,0.0,21.0,125.80000000000001,1048.5,41.9
0.0,0.0,0.0,7.7,61.800000000000004,348.4,30.9
0.0,17.1,34.2,34.2,222.4,1454.5,119.70000000000002
0.0,0.0,0.0,20.3,203.10000000000002,1144.1,88.0
2.7,2.7,32.9,32.9,241.09999999999997,857.6000000000001,65.8
34.1,0.0,0.0,34.1,272.6,443.1,0.0
0.0,0.0,0.0,130.2,130.2,325.70000000000005,65.1
0.0,0.0,86.0,154.79999999999998,395.70000000000005,1359.3000000000002,206.4
0.0,0.0,23.0,23.0,138.0,483.0,11.5
0.0,0.0,0.0,32.1,32.1,352.70000000000005,32.1
0.0,0.0,0.0,0.0,156.4,1212.4,39.1
0.0,4.2,6.300000000000001,142.60000000000002,193.50000000000003,1154.7,38.3
0.0,0.0,0.0,45.4,227.2,1226.7,0.0
0.0,4.8,28.8,28.799999999999997,205.8,665.3,86.2
0.0,24.3,24.3,169.9,703.6999999999999,2038.3,169.9
0.0,10.3,41.0,236.1,472.0,2472.7,123.1
0.0,0.0,34.0,0.0,237.70000000000002,1392.7,135.8
0.0,7.9,7.9,0.0,39.5,356.29999999999995,31.6
3.0,13.5,64.4,106.19999999999999,139.2,667.4,85.19999999999999
0.0,0.0,36.5,0.0,109.5,657.0,109.5
0.0,0.0,112.1,120.69999999999999,103.4,456.79999999999995,51.699999999999996
0.0,27.7,77.5,155.1,271.4,1450.9,166.1
0.0,3.6,25.400000000000002,114.39999999999999,132.5,1020.0,56.300000000000004
4.7,30.1,159.6,321.2,329.4,1300.7,248.00000000000003
0.0,0.0,30.599999999999998,96.89999999999999,85.1,1277.8000000000002,198.5
1.6,25.299999999999997,26.900000000000002,88.60000000000001,85.50000000000001,484.5,69.6
0.0,14.700000000000001,53.699999999999996,131.8,151.29999999999998,2275.2,92.80000000000001
0.0,21.5,74.30000000000001,183.0,164.4,1395.3,127.3
0.0,32.0,25.6,83.5,263.4,1143.4,77.0
1.8,23.900000000000002,107.19999999999999,103.5,157.2,1074.0,49.9
0.0,37.1,0.0,111.19999999999999,37.1,370.6,0.0
0.0,0.0,0.0,15.6,93.6,140.4,23.4
0.0,0.0,0.0,0.0,0.0,134.4,22.4
0.0,21.6,0.0,151.20000000000002,151.2,907.7,43.2
0.0,0.0,0.0,0.0,30.9,216.1,0.0
0.0,0.0,0.0,0.0,0.0,220.1,0.0
0.0,0.0,0.0,28.3,85.0,595.3,28.3
0.0,19.5,0.0,19.5,78.0,78.0,19.5
0.0,26.2,0.0,0.0,52.4,629.8,0.0
0.0,0.0,0.0,32.9,49.4,197.60000000000002,33.0
0.0,0.0,4.5,31.700000000000003,31.700000000000003,249.0,9.0
0.0,6.3,0.0,62.7,94.0,250.89999999999998,37.6
0.0,0.0,0.0,34.4,103.0,240.3,51.5
0.0,0.0,0.0,36.3,108.8,834.3,36.3
3.6,0.0,10.9,36.300000000000004,51.0,492.59999999999997,51.099999999999994
0.0,11.1,55.4,99.69999999999999,210.3,1065.3000000000002,127.30000000000001
0.0,14.8,44.4,48.9,254.8,1133.2,105.9
0.0,56.699999999999996,18.9,37.8,37.8,359.29999999999995,18.9
0.0,5.6,0.0,33.4,77.9,305.6,22.299999999999997
0.0,24.5,15.399999999999999,36.8,94.9,575.9,33.7
0.0,0.0,0.0,0.0,39.2,117.5,78.3
0.0,3.1,0.0,28.200000000000003,141.29999999999998,596.4,9.3
18.0,81.2,358.2,657.9,431.0,1364.7,293.7
0.0,0.0,14.1,24.7,162.70000000000002,916.0000000000001,17.7
0.0,20.9,45.9,66.8,167.2,840.3,100.30000000000001
0.0,0.0,0.0,76.80000000000001,153.8,641.0,76.80000000000001
0.0,40.8,27.3,122.80000000000001,122.69999999999999,1432.8,108.99999999999999
0.0,12.5,18.6,24.8,72.4,1015.7,8.3
1.0,8.9,17.8,48.4,116.5,1032.5,85.89999999999999
0.0,0.0,0.0,0.0,91.0,318.5,45.5
0.0,7.1,14.2,42.800000000000004,150.1,986.5,28.5
33.3,16.7,33.4,0.0,50.0,83.3,16.7
6.0,1.5,18.0,36.2,90.5,569.9000000000001,58.800000000000004
0.0,0.0,28.0,49.0,217.4,869.4000000000001,70.0
0.0,0.0,14.6,29.2,29.2,343.1,29.2
0.0,0.0,28.2,0.0,28.2,1126.9,28.2
0.0,0.0,0.0,41.7,39.5,195.3,19.8
5.3,19.5,169.8,268.6,394.20000000000005,1454.6999999999998,114.8
0.0,9.5,40.300000000000004,94.8,123.2,1225.0,85.3
0.0,3.8,47.9,212.0,189.10000000000002,886.3000000000001,141.3
0.0,12.1,8.7,61.0,78.5,655.7,38.4
4.3,0.0,0.0,34.4,51.599999999999994,580.9,17.2
0.0,0.0,17.7,57.8,93.19999999999999,512.6,82.2
0.0,0.0,0.0,22.8,114.00000000000001,524.9,125.50000000000001
0.0,8.7,10.899999999999999,17.4,77.7,440.2,30.2
0.0,0.0,33.0,90.8,140.2,1415.0,70.2
0.0,43.400000000000006,37.2,136.2,80.60000000000001,495.1,55.800000000000004
0.0,0.0,12.0,12.0,95.8,514.1,12.0
2.0,13.0,23.8,71.3,116.00000000000001,1186.5,126.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1229.5,0.0
0.0,0.0,0.0,0.0,110.6,221.2,0.0
12.8,63.60000000000001,299.0,763.4000000000001,375.4,2907.7000000000003,57.3
0.0,10.1,20.2,10.1,90.6,402.3,90.6
0.0,0.0,23.2,46.5,46.5,976.4000000000001,0.0
0.0,0.0,0.0,56.2,280.9,1741.6999999999998,0.0
0.0,0.0,0.0,141.1,70.6,1376.6,70.4
0.0,0.0,0.0,94.9,166.1,1210.2,23.7
0.0,21.2,0.0,21.2,63.599999999999994,233.2,21.2
0.0,0.0,0.0,0.0,411.0,1780.9,1643.9
