#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
216,8056,"39.783669, -75.255275","Mickleton, New Jersey",2469,"$66,058.00","#1,988"
217,7718,"40.419831, -74.083815","Belford, New Jersey",6186,"$65,920.00","#2,013"
218,8230,"39.205060, -74.708381","Ocean View, New Jersey",5589,"$65,857.00","#2,023"
219,7440,"40.946468, -74.293040","Pequannock, New Jersey",4661,"$65,856.00","#2,024"
220,8857,"40.394007, -74.330124","Old Bridge, New Jersey",36142,"$65,855.00","#2,025"
221,8241,"39.530032, -74.491680","Port Republic, New Jersey",1031,"$65,833.00","#2,028"
222,7730,"40.422444, -74.174216","Hazlet, New Jersey",18509,"$65,734.00","#2,044"
223,7442,"41.002734, -74.286742","Pompton Lakes, New Jersey",10908,"$65,659.00","#2,058"
224,8830,"40.569291, -74.321106","Iselin, New Jersey",16450,"$65,506.00","#2,077"
225,7628,"40.945239, -73.992428","Dumont, New Jersey",17478,"$65,497.00","#2,080"
226,7728,"40.225793, -74.285785","Freehold, New Jersey",50747,"$65,399.00","#2,091"
227,8620,"40.141933, -74.649789","Trenton, New Jersey",15928,"$65,267.00","#2,114"
228,8527,"40.107276, -74.342925","Jackson, New Jersey",42463,"$65,198.00","#2,123"
229,7066,"40.622601, -74.313779","Clark, New Jersey",14592,"$65,019.00","#2,148"
230,7825,"40.969280, -74.957637","Blairstown, New Jersey",9419,"$64,970.00","#2,155"
231,8073,"40.009956, -74.866930","Rancocas, New Jersey",265,"$64,861.00","#2,163"
232,7832,"40.973458, -75.051078","Columbia, New Jersey",3539,"$64,850.00","#2,165"
233,7803,"40.878175, -74.600780","Mine Hill, New Jersey",3679,"$64,643.00","#2,192"
234,7604,"40.862751, -74.075182","Hasbrouck Heights, New Jersey",11662,"$64,529.00","#2,203"
235,7843,"40.938024, -74.660879","Hopatcong, New Jersey",12472,"$64,192.00","#2,240"
236,8823,"40.446854, -74.566354","Franklin Park, New Jersey",7389,"$64,051.00","#2,259"
237,8817,"40.516983, -74.392534","Edison, New Jersey",45274,"$63,980.00","#2,271"
238,7070,"40.825910, -74.110400","Rutherford, New Jersey",18110,"$63,820.00","#2,290"
239,7849,"40.965158, -74.606932","Lake Hopatcong, New Jersey",7086,"$63,785.00","#2,295"
240,8054,"39.946946, -74.906125","Mount Laurel, New Jersey",40221,"$63,750.00","#2,304"
241,7852,"40.883269, -74.668029","Ledgewood, New Jersey",2558,"$63,750.00","#2,307"
242,7723,"40.250909, -74.001999","Deal, New Jersey",1533,"$63,571.00","#2,339"
243,7663,"40.902976, -74.101061","Saddle Brook, New Jersey",13155,"$63,545.00","#2,340"
244,7020,"40.823707, -73.978099","Edgewater, New Jersey",7677,"$63,455.00","#2,354"
245,7846,"40.967531, -74.879879","Johnsonburg, New Jersey",59,"$63,333.00","#2,369"
246,8097,"39.813376, -75.150617","Woodbury Heights, New Jersey",3223,"$63,024.00","#2,403"
247,7030,"40.745122, -74.032085","Hoboken, New Jersey",38577,"$62,550.00","#2,457"
248,7727,"40.204403, -74.149231","Farmingdale, New Jersey",6203,"$62,420.00","#2,476"
249,8036,"39.985936, -74.829866","Hainesport, New Jersey",229,"$62,188.00","#2,525"
250,7621,"40.922334, -73.998001","Bergenfield, New Jersey",26272,"$62,166.00","#2,528"
251,8530,"40.370685, -74.908492","Lambertville, New Jersey",7376,"$62,137.00","#2,533"
252,7607,"40.902885, -74.063457","Maywood, New Jersey",9523,"$62,113.00","#2,539"
253,7054,"40.856841, -74.401556","Parsippany, New Jersey",27616,"$62,106.00","#2,540"
254,8042,"40.015423, -74.664271","Juliustown, New Jersey",227,"$62,000.00","#2,566"
255,8555,"40.220742, -74.470155","Roosevelt, New Jersey",945,"$61,979.00","#2,572"
256,8533,"40.070206, -74.472872","New Egypt, New Jersey",6755,"$61,966.00","#2,573"
257,7885,"40.911424, -74.609685","Wharton, New Jersey",10221,"$61,947.00","#2,577"
258,7077,"40.553712, -74.253211","Sewaren, New Jersey",2781,"$61,488.00","#2,660"
259,8081,"39.739094, -74.983741","Sicklerville, New Jersey",42891,"$61,366.00","#2,681"
260,8902,"40.439218, -74.484332","North Brunswick, New Jersey",36845,"$61,277.00","#2,704"
261,8732,"39.944115, -74.145867","Island Heights, New Jersey",1751,"$61,125.00","#2,739"
262,7042,"40.812449, -74.217330","Montclair, New Jersey",26897,"$60,962.00","#2,780"
