ORINumber,City,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
NJ0131800,HOLMDEL PD,16621.0,0.0,12.0,0.0,12.0,36.1,649.8,90.2
NJ0131900,HOWELL TWP PD,52672.0,0.0,7.6,15.2,45.6,115.8,535.4,15.2
NJ0132000,INTERLAKEN PD,798.0,0.0,0.0,0.0,0.0,626.6,0.0,0.0
NJ0132100,KEANSBURG PD,9766.0,0.0,41.0,102.4,194.6,245.8,1351.6,41.0
NJ0132200,KEYPORT PD,7065.0,14.2,0.0,70.8,155.7,212.3,905.9,113.2
NJ0134700,LAKE COMO BORO PD,1710.0,0.0,58.5,0.0,58.5,175.4,760.2,0.0
NJ0132300,LITTLE SILVER PD,5898.0,0.0,0.0,0.0,33.9,50.9,457.8,67.8
NJ0132400,LOCH ARBOUR VILLAGE PD,181.0,0.0,0.0,0.0,0.0,552.5,1657.5,0.0
NJ0132500,LONG BRANCH PD,30750.0,9.8,22.8,78.0,292.7,305.7,1671.5,100.8
NJ0132600,MANALAPAN TWP PD,40150.0,0.0,17.4,5.0,10.0,89.7,411.0,42.3
NJ0132700,MANASQUAN PD,5903.0,0.0,0.0,33.9,84.7,84.7,847.0,84.7
NJ0132800,MARLBORO TWP PD,40338.0,0.0,2.5,2.5,57.0,91.7,510.7,69.4
NJ0132900,MATAWAN PD,8864.0,0.0,0.0,0.0,0.0,0.0,101.5,11.3
NJ0133100,MIDDLETOWN PD,65469.0,0.0,1.5,3.1,16.8,48.9,510.2,33.6
NJ0133300,MONMOUTH BEACH PD,3231.0,0.0,0.0,0.0,0.0,154.8,526.2,123.8
NJ013559E,MONMOUTH UNIVERSITY PD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ0133500,NEPTUNE CITY PD,4694.0,0.0,21.3,21.3,170.4,191.7,2769.5,42.6
NJ0133400,NEPTUNE TWP PD,27825.0,7.2,14.4,86.3,273.1,330.6,2691.8,35.9
NJ0133700,OCEAN TWP PD,26947.0,0.0,3.7,29.7,40.8,244.9,1874.0,55.7
NJ0133800,OCEANPORT PD,5742.0,0.0,0.0,0.0,69.7,191.6,574.7,52.2
NJ0134000,RED BANK PD,12128.0,8.2,0.0,49.5,115.4,115.4,1146.1,74.2
NJ0134200,RUMSON PD,6835.0,0.0,0.0,0.0,14.6,43.9,190.2,146.3
NJ0134300,SEA BRIGHT PD,1379.0,0.0,72.5,0.0,72.5,145.0,217.5,0.0
NJ0134400,SEA GIRT PD,1766.0,0.0,0.0,113.3,113.3,113.3,1359.0,339.8
NJ0134500,SHREWSBURY PD,4170.0,0.0,0.0,0.0,24.0,239.8,1726.6,71.9
NJ0134900,SPRING LAKE HEIGHTS PD,4607.0,0.0,0.0,21.7,0.0,21.7,238.8,108.5
NJ0134800,SPRING LAKE PD,2958.0,0.0,0.0,0.0,0.0,135.2,1183.2,67.6
NJ0133600,TINTON FALLS PD,17754.0,0.0,0.0,5.6,22.5,84.5,923.7,16.9
NJ0135000,UNION BEACH PD,5469.0,0.0,18.3,0.0,109.7,36.6,365.7,36.6
NJ0135200,WALL TWP PD,25955.0,0.0,0.0,0.0,27.0,138.7,866.9,3.9
NJ0135300,WEST LONG BRANCH PD,7957.0,0.0,0.0,25.1,12.6,113.1,1080.8,75.4
NJ0140100,BOONTON PD,8236.0,0.0,12.1,24.3,48.6,133.6,959.2,48.6
NJ0140200,BOONTON TWP PD,4299.0,0.0,23.3,23.3,0.0,69.8,465.2,23.3
NJ0140300,BUTLER BORO PD,7679.0,0.0,0.0,0.0,0.0,143.2,481.8,26.0
NJ0140400,CHATHAM BORO PD,8793.0,0.0,0.0,0.0,0.0,56.9,341.2,45.5
