,School ID,School Name,City,Zip Code,Address,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,2019 Rank,2019 Rank Stars,2019 Rank Level,2019 Avg Score,2019 Student Count,Low Grade,High Grade,School Level
1,341245000714,West Ridge Elementary School,Park Ridge,07656,18 South  First Street,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,6,Elementary
2,340450003342,James Madison Intermediate School,Edison,08820,838 New Dover Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,3,5,Elementary
3,340000406018,Washington Avenue School,Chatham,07928,102 Washington Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,3,Elementary
4,340879003900,Point Road School,Little Silver,07739,357 Little Silver Point Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,4,Elementary
5,340939000453,Wemrock Brook School,Manalapan,07726,118 Millhurst Road,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,1,5,Elementary
6,341836000942,Calvin Coolidge Elementary School,Wyckoff,07481,420 Grandview Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
7,341359000738,Wesley D Tisdale Elementary School,Ramsey,07446,200 Island Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,3,Elementary
8,341212004074,Wolf Hill School,Oceanport,07757,29 Wolf Hill Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,4,Elementary
9,340450003356,Menlo Park Elementary School,Edison,08820,155 Monroe Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
10,340639001560,Elizabeth Haddon School,Haddonfield,08033,501 West Redman Avenue,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,5,Elementary
11,341371003034,Whitehouse School,Whitehouse Station,08889,50 Whitehouse Ave,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,3,Elementary
12,340360000328,Merritt Memorial,Cresskill,07626,1 Dogwood Lane,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
13,341038004018,Monmouth Beach Elementary School,Monmouth Beach,07750,7 Hastings Place,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,PK,8,Elementary
14,340939003930,Milford Brook School,Manalapan,07726,20 Globar  Terrace,101,5,Elementary,89.23322,176,4,Elementary,85.21241,,K,5,Elementary
